"Plot Title: YG_1m"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 20580742, SEN S/N: 20580742)","RH, % (LGR S/N: 20580742, SEN S/N: 20580742)"
1,04/01/19 01:22:58 PM,42.001,10.435
2,04/01/19 01:52:58 PM,34.360,17.160
3,04/01/19 02:22:58 PM,36.851,15.197
4,04/01/19 02:52:58 PM,33.835,20.266
5,04/01/19 03:22:58 PM,36.308,16.758
6,04/01/19 03:52:58 PM,35.958,14.794
7,04/01/19 04:22:58 PM,37.921,12.775
8,04/01/19 04:52:58 PM,35.448,11.473
9,04/01/19 05:22:58 PM,32.820,13.067
10,04/01/19 05:52:58 PM,30.621,14.832
11,04/01/19 06:22:58 PM,29.040,15.894
12,04/01/19 06:52:58 PM,26.818,20.481
13,04/01/19 07:22:58 PM,23.665,26.125
14,04/01/19 07:52:58 PM,20.198,35.659
15,04/01/19 08:22:58 PM,18.961,35.670
16,04/01/19 08:52:58 PM,17.153,46.699
17,04/01/19 09:22:58 PM,13.930,65.492
18,04/01/19 09:52:58 PM,12.847,69.513
19,04/01/19 10:22:58 PM,12.703,70.457
20,04/01/19 10:52:58 PM,11.637,75.539
21,04/01/19 11:22:58 PM,11.273,78.473
22,04/01/19 11:52:58 PM,10.418,83.753
23,04/02/19 12:22:58 AM,10.663,85.036
24,04/02/19 12:52:58 AM,10.418,82.762
25,04/02/19 01:22:58 AM,9.952,83.538
26,04/02/19 01:52:58 AM,8.568,86.177
27,04/02/19 02:22:58 AM,8.170,89.254
28,04/02/19 02:52:58 AM,8.145,90.919
29,04/02/19 03:22:58 AM,7.569,90.925
30,04/02/19 03:52:58 AM,6.889,92.098
31,04/02/19 04:22:58 AM,5.796,94.520
32,04/02/19 04:52:58 AM,6.077,90.748
33,04/02/19 05:22:58 AM,7.066,93.205
34,04/02/19 05:52:58 AM,6.204,90.246
35,04/02/19 06:22:58 AM,5.796,88.355
36,04/02/19 06:52:58 AM,4.766,87.099
37,04/02/19 07:22:58 AM,5.591,88.713
